Time resolution is 1 ps
[8883000 ns] sample #1635: -31113(0x8677). 
[8908000 ns] sample #1640: -10278(0xd7da). 
[8933000 ns] sample #1645: 31113(0x7989). 
[8958000 ns] sample #1650: 10278(0x2826). 
[8983000 ns] sample #1655: -31113(0x8677). 
[9008000 ns] sample #1660: -10278(0xd7da). 
[9033000 ns] sample #1665: 31113(0x7989). 
[9058000 ns] sample #1670: 10278(0x2826). 
[9083000 ns] sample #1675: -31113(0x8677). 
[9108000 ns] sample #1680: -10278(0xd7da). 
[9133000 ns] sample #1685: 31113(0x7989). 
[9158000 ns] sample #1690: 10278(0x2826). 
[9183000 ns] sample #1695: -31113(0x8677). 
[9208000 ns] sample #1700: -10278(0xd7da). 
[9233000 ns] sample #1705: 31113(0x7989). 
[9258000 ns] sample #1710: 10278(0x2826). 
[9283000 ns] sample #1715: -31113(0x8677). 
[9308000 ns] sample #1720: -10278(0xd7da). 
[9333000 ns] sample #1725: 31113(0x7989). 
[9358000 ns] sample #1730: 10278(0x2826). 
[9383000 ns] sample #1735: -31113(0x8677). 
[9408000 ns] sample #1740: -10278(0xd7da). 
[9433000 ns] sample #1745: 31113(0x7989). 
[9458000 ns] sample #1750: 10278(0x2826). 
[9483000 ns] sample #1755: -31113(0x8677). 
[9508000 ns] sample #1760: -10278(0xd7da). 
[9533000 ns] sample #1765: 31113(0x7989). 
[9558000 ns] sample #1770: 10278(0x2826). 
[9583000 ns] sample #1775: -31113(0x8677). 
[9608000 ns] sample #1780: -10278(0xd7da). 
[9633000 ns] sample #1785: 31113(0x7989). 
[9658000 ns] sample #1790: 10278(0x2826). 
[9683000 ns] sample #1795: -31113(0x8677). 
[9708000 ns] sample #1800: -10278(0xd7da). 
[9733000 ns] sample #1805: 31113(0x7989). 
[9758000 ns] sample #1810: 10278(0x2826). 
[9783000 ns] sample #1815: -31113(0x8677). 
[9808000 ns] sample #1820: -10278(0xd7da). 
[9833000 ns] sample #1825: 31113(0x7989). 
[9858000 ns] sample #1830: 10278(0x2826). 
[9883000 ns] sample #1835: -31113(0x8677). 
[9908000 ns] sample #1840: -10278(0xd7da). 
[9933000 ns] sample #1845: 31113(0x7989). 
[9958000 ns] sample #1850: 10278(0x2826). 
[9983000 ns] sample #1855: -31113(0x8677). 
[10008000 ns] sample #1860: -10278(0xd7da). 
[10033000 ns] sample #1865: 31113(0x7989). 
[10058000 ns] sample #1870: 10278(0x2826). 
[10083000 ns] sample #1875: -31113(0x8677). 
[10108000 ns] sample #1880: -10278(0xd7da). 
